target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
3,2,0.1,0.058699999999999974,-0.8874502853990338,0.03134442966651174,5.309819729192098,25.010631447087494
3,3,0.1,0.05810000000000004,-0.8798424808104559,0.03578461894469753,10.998125303329248,31.368342763053235
3,5,0.1,0.07010000000000005,-0.8668859174930839,0.0457771542403318,19.628577050724793,43.33887072696634
3,10,0.1,0.09130000000000005,-0.8134721206678863,0.08801438767201997,12.036860645356732,40.27571526568688
3,2,1.0,0.06230000000000002,-0.870753987489419,0.04108685404403456,8.735934276776526,29.25707081346884
3,3,1.0,0.06920000000000004,-0.8688799770962635,0.04272324983055531,16.674780566766525,31.825780453093206
3,5,1.0,0.08479999999999999,-0.8367877505657506,0.06782886772698171,32.81295801027999,42.01707411136885
3,10,1.0,0.12,-0.7731468764596686,0.12962445055823058,21.58559194760402,41.233875472995365
3,2,2.0,0.06899999999999995,-0.8493478054528523,0.055550327786855536,11.324045404300254,31.11581894481369
3,3,2.0,0.07169999999999999,-0.8535358780870885,0.05303741414867591,20.64439956018759,35.363553261813266
3,5,2.0,0.08609999999999995,-0.8366248140039868,0.06686498784092865,34.570394484775164,42.42275996022189
3,10,2.0,0.12490000000000001,-0.7492521192552881,0.16170874173537075,27.24277580573926,41.7888063549231
