target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.017000000000000015,-0.963751437045194,0.003092479253132163,5.064428173662287,4.291629675537208
2,5,0.01,32,0.1,0.018100000000000005,-0.965985705183201,0.0028720599218813314,3.95182319306815,4.087351226593425
2,3,0.1,32,0.1,0.016599999999999948,-0.9641747371698514,0.0030641493945424703,4.5035184939619475,4.685401598136044
2,5,0.1,32,0.1,0.018900000000000028,-0.9669235090337172,0.0027670645873199007,5.283634622539498,5.071920369974952
2,3,0.01,64,0.1,0.018900000000000028,-0.9611094559179233,0.0034113163598024077,4.401803351704203,3.7121197529275207
2,5,0.01,64,0.1,0.021399999999999975,-0.9641054311300961,0.0030876029847767272,4.451015604926544,3.971274779200436
2,3,0.1,64,0.1,0.021399999999999975,-0.9620911614058851,0.003340917037065294,4.307807418537459,4.301925022903522
2,5,0.1,64,0.1,0.016000000000000014,-0.9662304324126288,0.0028461812002275044,5.100607974651182,5.09856318016406
2,3,0.01,32,1.0,0.027900000000000036,-0.9421745862961639,0.010824254499786523,4.112079037007236,3.540080005974491
2,5,0.01,32,1.0,0.022599999999999953,-0.9592557730865252,0.003836016457983371,5.594456282474279,4.843173452254032
2,3,0.1,32,1.0,0.021599999999999953,-0.9560420729887834,0.0044561651588719275,6.583260298701643,4.386570397929042
2,5,0.1,32,1.0,0.019199999999999995,-0.9653445797277486,0.0029916426968730203,6.304373193435709,5.606983354444353
2,3,0.01,64,1.0,0.02849999999999997,-0.9395253341198195,0.008598061365451937,3.7457779501387596,4.500823191834623
2,5,0.01,64,1.0,0.02059999999999995,-0.9572028327249819,0.0043099850162348075,4.187114837710786,5.200472084137609
2,3,0.1,64,1.0,0.025800000000000045,-0.9506168054756837,0.006052894422636679,5.999863422339968,4.110861293500275
2,5,0.1,64,1.0,0.018199999999999994,-0.9646808021258777,0.003080389771607406,5.321448731391397,4.688963760451479
2,3,0.01,32,2.0,0.04490000000000005,-0.9168163207780771,0.016807890629451427,4.261594305103045,5.420842568721848
2,5,0.01,32,2.0,0.023599999999999954,-0.9549901279900838,0.004573521029283989,5.071738688187554,5.813330999389903
2,3,0.1,32,2.0,0.02629999999999999,-0.9489353918771225,0.006080961917798722,7.734989929155167,4.939666165181772
2,5,0.1,32,2.0,0.01749999999999996,-0.9642962178788135,0.00310360241476193,5.972286552190691,5.037256197786083
2,3,0.01,64,2.0,0.04959999999999998,-0.8996600829290885,0.02741540552513222,2.4386749378207018,6.5025863325220605
2,5,0.01,64,2.0,0.026699999999999946,-0.951709126272004,0.0052503252539259915,4.280539457681459,4.3676215796390885
2,3,0.1,64,2.0,0.02639999999999998,-0.9441914766350553,0.007673372033262349,7.849199426445204,4.353818927289352
2,5,0.1,64,2.0,0.01880000000000004,-0.9642453952671732,0.0031328307104160347,5.619337873898997,5.322228559628756
