target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.03520000000000001,-0.9113031618072694,0.019166665355524026,102.46474422220933,38.20148483030239
2,5,0.01,32,0.1,0.0393,-0.9128802002566476,0.018659248227255842,102.59381751435423,38.30700950789945
2,3,0.1,32,0.1,0.03310000000000002,-0.913520942105288,0.018321498607296482,106.24925811703555,38.90423133819
2,5,0.1,32,0.1,0.040200000000000014,-0.9166989277769815,0.017338580045089924,108.4430560240431,38.46031233961418
2,3,0.01,64,0.1,0.040200000000000014,-0.9073017869138962,0.0209067443806229,82.17635319303452,37.641905727203074
2,5,0.01,64,0.1,0.03949999999999998,-0.9097967202994616,0.01988086776424025,92.37527777343614,37.936368767366076
2,3,0.1,64,0.1,0.040200000000000014,-0.9107246306059035,0.019507513467882265,88.90308323940587,38.991560296549345
2,5,0.1,64,0.1,0.036800000000000055,-0.9154134435613297,0.017871589995806847,95.66400171788368,39.535815896790226
2,3,0.01,32,1.0,0.05720000000000003,-0.8907988601478664,0.030566748691695622,43.96844728563754,30.28590951047288
2,5,0.01,32,1.0,0.05349999999999999,-0.8968460808438145,0.02810744121722153,45.46508462229129,32.172167599049615
2,3,0.1,32,1.0,0.05720000000000003,-0.892367791531993,0.030774535222556687,54.15923064086238,34.38536269905802
2,5,0.1,32,1.0,0.04920000000000002,-0.9073661503858429,0.024588407392604594,70.12215325607204,35.14308515457128
2,3,0.01,64,1.0,0.06110000000000004,-0.880761093101158,0.03587631237663713,33.631672784428,28.634429225707855
2,5,0.01,64,1.0,0.06269999999999998,-0.8869835387402288,0.03374161739346504,38.98752219045662,32.88188824570556
2,3,0.1,64,1.0,0.059599999999999986,-0.8836253087517569,0.03546579065851807,40.96236611299957,32.35309969509919
2,5,0.1,64,1.0,0.053300000000000014,-0.8982853623218906,0.030416910729885838,59.76011229075848,35.438421540594646
2,3,0.01,32,2.0,0.061000000000000054,-0.884936982841839,0.03490632301570229,38.06016708599748,32.542881858629606
2,5,0.01,32,2.0,0.05700000000000005,-0.8926963096027996,0.03154856327134781,45.066624898807405,29.76891455773864
2,3,0.1,32,2.0,0.05800000000000005,-0.8903266558770325,0.03325609915746108,57.689147827575525,34.2605367313015
2,5,0.1,32,2.0,0.05449999999999999,-0.904563223206356,0.027315041303631826,68.90745546574703,35.25945244672255
2,3,0.01,64,2.0,0.06430000000000002,-0.8741845121461697,0.04085774152317412,33.696353312677246,31.78484923509719
2,5,0.01,64,2.0,0.058499999999999996,-0.8856647175695482,0.035892336156569504,40.38746328231745,33.60193342714525
2,3,0.1,64,2.0,0.06020000000000003,-0.8816590713898648,0.038374600506703715,43.44671128014357,31.87486272430402
2,5,0.1,64,2.0,0.054300000000000015,-0.8968568736200873,0.03179342281681474,58.12419427567949,35.764084966955124
