target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.4597,-0.06901515690962043,0.9882839605169895,21.221613245065416,9.521332102246742
2,8,0.0,0.17920000000000003,-0.5902639273669236,0.4933662937916423,23.32892914816849,10.408130163697441
2,16,0.0,0.13680000000000003,-0.6824000047158891,0.3288384723056945,23.229100470987806,10.305335568852314
2,32,0.0,0.10370000000000001,-0.7643871194166062,0.18782863542621187,23.078425589782412,10.518019894427615
2,64,0.0,0.08640000000000003,-0.7964062680083834,0.14548184597766933,23.309492278703143,10.266738800170168
2,128,0.0,0.06910000000000005,-0.8294776964011202,0.08128221976692607,23.05450820588097,10.346317553526372
2,4,0.1,0.46319999999999995,-0.07152066003164936,0.9870384219011349,21.276236271166923,10.403188442896438
2,8,0.1,0.1846,-0.5962351891063444,0.48504692281062534,23.637470927744427,10.61502698773001
2,16,0.1,0.13129999999999997,-0.7053542942194273,0.3035196785680786,23.41103007564414,10.196792883284186
2,32,0.1,0.11409999999999998,-0.7229418272966616,0.26689343539959876,23.38747512434568,10.314242257163238
2,64,0.1,0.0827,-0.800841208811655,0.13957729366948068,23.086886848763378,10.374241141137029
2,128,0.1,0.045599999999999974,-0.8853180145446318,0.0342451778424947,23.27913768197124,10.52157968961662
2,4,0.25,0.47740000000000005,-0.03671163511103145,0.9977457791365484,21.72652590386694,10.095971355196662
2,8,0.25,0.19230000000000003,-0.5927092180087761,0.5118791160568896,23.997026931361102,10.692671554933906
2,16,0.25,0.13080000000000003,-0.7056593049023627,0.30056116271519195,23.633595687254402,10.006580322714065
2,32,0.25,0.11909999999999998,-0.7261022607884219,0.25236716888995203,23.47850895516146,10.682739236894562
2,64,0.25,0.07509999999999994,-0.8235429753251665,0.1065717701371417,23.694077619184164,10.268444711295574
2,128,0.25,0.05249999999999999,-0.8564196152927195,0.06406739647124482,23.26612752404968,10.508405348437975
2,4,0.5,0.48939999999999995,-0.006790555444327543,0.9992998566098894,21.51218245311658,10.459433154499855
2,8,0.5,0.19989999999999997,-0.580418085721457,0.5524318962415258,23.59224402940685,10.457294564648421
2,16,0.5,0.13680000000000003,-0.688898916053305,0.34560910011909907,24.201475865574913,10.52815396572719
2,32,0.5,0.1099,-0.7396579494840625,0.24496095165479526,23.825764604798206,10.52566860030761
2,64,0.5,0.06120000000000003,-0.8323666173483051,0.10028648521840655,24.124600718217447,10.521745986258654
2,128,0.5,0.0605,-0.8545720781396322,0.06869114654324848,23.472207911919412,10.434875770268272
2,4,0.8,0.46599999999999997,-0.07810192811899705,0.9880145635377154,17.98814952236779,10.68156990836792
2,8,0.8,0.21730000000000005,-0.5182264156646554,0.6546522151457486,21.572718534108418,10.433612493699973
2,16,0.8,0.18530000000000002,-0.5856695610383975,0.5449019584063619,22.875386419122588,10.599684794460197
2,32,0.8,0.14790000000000003,-0.6645174870558195,0.37558370825484866,23.886231059897355,10.781766804537076
2,64,0.8,0.08809999999999996,-0.7851536868780001,0.1718034186702323,24.113374222815885,10.582631900976969
2,128,0.8,0.06769999999999998,-0.8241558336196323,0.110377898716563,24.04213049780151,10.556063399309702
