target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.20730000000000004,-0.6079045214470423,0.40724961696744766,230.12519528193664,46.6189071702785
2,8,0.0,0.1563,-0.7038515410999091,0.24409360420442916,236.21311085930054,46.11780139258695
2,16,0.0,0.13880000000000003,-0.7166620248653433,0.22789317807612341,231.36612261636841,44.24276859371261
2,32,0.0,0.1392,-0.6708604529764154,0.2977284666041782,232.93566987943842,46.73308003306951
2,64,0.0,0.1523,-0.6498418768315688,0.34358353608226944,231.92993135699245,48.02405131653419
2,128,0.0,0.12419999999999998,-0.7234704588059023,0.21241925596789646,233.36842280194298,43.27963770493254
2,4,0.1,0.1955,-0.6187667210678465,0.3869604718146544,234.68056388200387,42.340966321506215
2,8,0.1,0.14049999999999996,-0.7395502679809828,0.20349753450546704,232.9257111417607,45.18138084171758
2,16,0.1,0.12649999999999995,-0.7340484920461323,0.20312966135624544,231.39709652582835,45.81654802768873
2,32,0.1,0.12060000000000004,-0.7414522470740513,0.19124491892331397,233.54182305627342,44.482671207915224
2,64,0.1,0.124,-0.7225298471275037,0.21860934502899176,231.24218328777135,45.30315702440087
2,128,0.1,0.1362,-0.7046196091301498,0.2666014939133604,233.67754252202315,47.034857227279566
2,4,0.25,0.20709999999999995,-0.579366667981008,0.48206713995136863,232.80305602021323,42.97443135468242
2,8,0.25,0.14870000000000005,-0.7220326219117125,0.23377254695000882,228.53674501061073,48.556222814980565
2,16,0.25,0.12519999999999998,-0.7623404620541695,0.17361318657001523,234.54138659363738,48.26169027942393
2,32,0.25,0.12250000000000005,-0.7561676561165654,0.18063929356618003,234.11253980307671,49.172630754555925
2,64,0.25,0.12190000000000001,-0.7509875075010174,0.1873311993268031,234.90354099045712,49.26877127382609
2,128,0.25,0.12470000000000003,-0.7495502500747483,0.1985750424662549,233.94675949802803,45.8405852025507
2,4,0.5,0.236,-0.5667044871204859,0.4863375658208008,230.9553334207925,45.826221588479825
2,8,0.5,0.14439999999999997,-0.7316453603721468,0.22008838915183482,232.73226896503434,49.559576631856665
2,16,0.5,0.12829999999999997,-0.7605378346198464,0.18036281393517595,233.5324223517313,46.802772879014015
2,32,0.5,0.12519999999999998,-0.7575450929873964,0.18130732437261787,235.39768718013164,41.371484620834416
2,64,0.5,0.12660000000000005,-0.7345147571889961,0.18987773781202522,233.69589492901883,44.22004493450246
2,128,0.5,0.11850000000000005,-0.7654071500414793,0.17103463504734595,232.01882448197676,46.88376542798501
2,4,0.8,0.23019999999999996,-0.5553674990138112,0.5098977164390351,232.92595244929745,48.05020626772518
2,8,0.8,0.17400000000000004,-0.6724301253780157,0.2887552554980183,233.24751979508352,44.20815410470483
2,16,0.8,0.13480000000000003,-0.7450098835874197,0.1998337678316211,233.07240581227978,47.54941676887907
2,32,0.8,0.12919999999999998,-0.7334559790434362,0.20939565128701731,232.93734270643378,46.78648903222368
2,64,0.8,0.11299999999999999,-0.787166449450175,0.131425449716577,230.4415534251242,45.212437121229506
2,128,0.8,0.12109999999999999,-0.7594052343961112,0.1875428761517648,231.39364998853569,45.642775054096894
