target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
3,4,0.0,0.24119999999999997,-0.5216935282824717,0.49626610442210906,78.37758718003079,41.56096817223295
3,8,0.0,0.13449999999999995,-0.7172617348080862,0.1879530612553778,79.6923755833726,41.02027161605291
3,16,0.0,0.13859999999999995,-0.7191922698668204,0.19428581111590026,77.83982426614652,41.324827441541345
3,32,0.0,0.14070000000000005,-0.7104825155187114,0.20402655115823376,77.91601458417588,41.61629952597071
3,64,0.0,0.15810000000000002,-0.6759218838197424,0.25282452099245956,80.12561058604872,40.347957706418576
3,128,0.0,0.16180000000000005,-0.6584551596106419,0.28457451085498175,76.88689408940081,41.24182909823354
3,4,0.1,0.22640000000000005,-0.5265456407996053,0.4989764913875916,76.77687241471337,41.24731009750962
3,8,0.1,0.12390000000000001,-0.7504166566785336,0.1514709833501281,78.43570474209616,41.55424914047463
3,16,0.1,0.11870000000000003,-0.7628348921297231,0.1398683986826481,78.7572552800232,40.02819968327066
3,32,0.1,0.12470000000000003,-0.7393405935019967,0.16554158475248748,77.83092883991806,42.497102737545305
3,64,0.1,0.14190000000000003,-0.7012346158407909,0.21187823691671448,77.70436401810292,42.9777996929177
3,128,0.1,0.15910000000000002,-0.6769684660783472,0.2637973488205507,77.47338530750747,40.93421321334677
3,4,0.25,0.23509999999999998,-0.507235966904377,0.5552705975503245,77.58353629318097,40.61193276111195
3,8,0.25,0.10550000000000004,-0.7698137619228796,0.14954475016106872,78.82276379077545,41.803238098157266
3,16,0.25,0.0968,-0.7983365212669133,0.10615356706303714,77.05509711357831,40.77931537536806
3,32,0.25,0.10709999999999997,-0.7686182376699559,0.1316966160743458,79.12463059989395,39.79128695133718
3,64,0.25,0.13690000000000002,-0.7074887020551945,0.20303684120963206,77.07662467769492,43.30659812904788
3,128,0.25,0.19920000000000004,-0.5998200949941049,0.37543173716332345,76.91137551676141,42.12280222164011
3,4,0.5,0.1966,-0.5795361740001168,0.4446766348866149,78.46457518475079,42.8242242019343
3,8,0.5,0.08479999999999999,-0.8238322839495436,0.08326799210413116,77.6537761272858,42.25779386940068
3,16,0.5,0.08850000000000002,-0.8212886872775509,0.08676446836749385,77.17659639102864,43.06280422448071
3,32,0.5,0.09919999999999995,-0.7922935424772245,0.10634874528197891,79.24143183120054,42.670425907927495
3,64,0.5,0.1321,-0.7280444574529805,0.17596147537458995,78.53976060253669,41.83236002923496
3,128,0.5,0.21030000000000004,-0.5798220788034931,0.4117658445699047,77.42663739919124,42.9417473688784
3,4,0.8,0.15839999999999999,-0.6617946596175013,0.3247182576052614,76.97654940660681,41.353783188674605
3,8,0.8,0.0786,-0.8369571049526285,0.07217073643666938,78.03126271599545,41.63796590638948
3,16,0.8,0.08140000000000003,-0.8219052594130382,0.08726980884939228,79.34793336729501,41.199925823587904
3,32,0.8,0.09519999999999995,-0.7921977127698877,0.10741881670015863,78.03940091475907,40.238487406839866
3,64,0.8,0.19330000000000003,-0.627592197981378,0.33948080594525243,78.86559720085498,41.18832793039783
3,128,0.8,0.2087,-0.5702116350652724,0.42949198960517765,77.45695910573214,40.357810626174036
