target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.07489999999999997,-0.8475480342383679,0.07598312560790976,211.31399633716407,46.564286742573074
2,5,0.01,32,0.1,0.08099999999999996,-0.8478462272259294,0.07589687575849846,211.66962401214482,47.04759371940562
2,3,0.1,32,0.1,0.07230000000000003,-0.8478625234701366,0.07565049939116752,212.37690631297113,49.909139614831304
2,5,0.1,32,0.1,0.07540000000000002,-0.8484375603831402,0.07545396308281149,212.03395783149662,52.562693207511444
2,3,0.01,64,0.1,0.07410000000000005,-0.8470978747942869,0.07555281733039698,192.92586818478262,48.80826386075363
2,5,0.01,64,0.1,0.07940000000000003,-0.8475159873303679,0.07541637660964973,194.84328587065028,48.55005502037106
2,3,0.1,64,0.1,0.07499999999999996,-0.8479961285361683,0.07493187073237217,202.80848849778315,48.067480265386564
2,5,0.1,64,0.1,0.07150000000000001,-0.8489858447854017,0.07451106264618579,198.65463867210903,50.500895832526886
2,3,0.01,32,1.0,0.09340000000000004,-0.8312426688339368,0.07502278132081552,106.08485255375605,43.4739218171481
2,5,0.01,32,1.0,0.08360000000000001,-0.8419957494474981,0.06899820886297736,118.28757126118798,46.68739313000052
2,3,0.1,32,1.0,0.08989999999999998,-0.845197268604246,0.06639115918998784,130.9396501381962,45.643728966767924
2,5,0.1,32,1.0,0.08109999999999995,-0.8566716766027522,0.0600213397733772,143.4482771063095,47.767674627730024
2,3,0.01,64,1.0,0.10070000000000001,-0.825507178968086,0.07964404387380797,79.88247990556421,36.842408212414696
2,5,0.01,64,1.0,0.0928,-0.8366267445473756,0.07268773476485302,92.78985466881858,44.732736809891634
2,3,0.1,64,1.0,0.08779999999999999,-0.8390105735238489,0.07113773246311617,106.34086304798056,44.96749761829506
2,5,0.1,64,1.0,0.0826,-0.852903037375948,0.06333946639764254,125.68197737400546,44.18782350094681
2,3,0.01,32,2.0,0.09599999999999997,-0.8284626584703629,0.07648478851528395,85.72549922552838,40.71443857576338
2,5,0.01,32,2.0,0.09460000000000002,-0.8429788545122282,0.06836246697344728,113.47806965660165,40.52963655652473
2,3,0.1,32,2.0,0.08630000000000004,-0.8453475991085566,0.06625861703163427,123.1005185748738,44.617787916603106
2,5,0.1,32,2.0,0.08150000000000002,-0.8587091283291588,0.059284410448578906,137.929048504915,46.46394135777516
2,3,0.01,64,2.0,0.09909999999999997,-0.8199642860885542,0.08274754306536702,70.53762350543849,33.89248516162402
2,5,0.01,64,2.0,0.09660000000000002,-0.8344375175329959,0.0738964151721786,90.98555559278897,40.399729404585905
2,3,0.1,64,2.0,0.09240000000000004,-0.8381803035396955,0.07161741030311453,108.51749239188953,40.74856885844568
2,5,0.1,64,2.0,0.08289999999999997,-0.8590129453618247,0.059450891515415716,125.3452724104792,45.48754258108258
