target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.07789999999999997,-0.8425598378119888,0.08217561931874195,230.3473988876284,49.00806635523063
2,3,0.1,0.07720000000000005,-0.8423440534677656,0.08194389621744425,225.37074847878904,46.50650630969121
2,5,0.1,0.07940000000000003,-0.8457760262535717,0.07983713549188465,220.66890218907574,46.48278499051198
2,10,0.1,0.07820000000000005,-0.8337900282925076,0.08819139837771017,188.9190715003222,47.526418795904284
2,2,1.0,0.0796,-0.8423838991403162,0.08219088517534445,233.64000282670756,50.42996431783878
2,3,1.0,0.07640000000000002,-0.8414957106466011,0.08237022604154287,225.33920067877423,46.9784890126076
2,5,1.0,0.07850000000000001,-0.8426205073905781,0.08228352527721783,223.38299900713906,45.5837440574646
2,10,1.0,0.09160000000000001,-0.8219724480811881,0.09618711579063266,188.62111707212998,46.34058033393217
2,2,2.0,0.07389999999999997,-0.8418573117693186,0.08243317513806525,222.29973819510485,44.82730172558427
2,3,2.0,0.07609999999999995,-0.8404558386569458,0.08353038239832133,224.5676902448147,43.104996926650266
2,5,2.0,0.07599999999999996,-0.8456897387536124,0.08124118850872852,228.4923417781958,44.73638397735942
2,10,2.0,0.09119999999999995,-0.8045881090630284,0.11289272548659302,197.6200774671202,47.162514456578066
