target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
3,3,0.01,32,0.1,0.04959999999999998,-0.8946210334752525,0.02699354914427443,8.080425988350164,24.70798634281767
3,5,0.01,32,0.1,0.05720000000000003,-0.8983945008292785,0.02560025130662258,9.639990494058729,24.47747152901895
3,3,0.1,32,0.1,0.05359999999999998,-0.8855965757061305,0.032495338020165576,2.4695155932777273,23.85442916990585
3,5,0.1,32,0.1,0.05669999999999997,-0.8945219148777355,0.029555393091126647,8.200157356924715,34.461476033480835
3,3,0.01,64,0.1,0.05679999999999996,-0.8899891692893032,0.02930298941554088,5.964555895739687,23.359190347638044
3,5,0.01,64,0.1,0.05359999999999998,-0.896247326442253,0.026392625262786518,7.363009655426745,23.447999613795172
3,3,0.1,64,0.1,0.05889999999999995,-0.8840248464868484,0.033167794470254974,1.8337072358011361,24.173361058102408
3,5,0.1,64,0.1,0.05910000000000004,-0.89586085292875,0.02836434199587745,5.432275359574046,31.08681302020571
3,3,0.01,32,1.0,0.06879999999999997,-0.8659229771339296,0.04594138976763251,5.240892373602386,25.331250026648767
3,5,0.01,32,1.0,0.059699999999999975,-0.8848276392889957,0.03483031898942668,8.472669625797735,25.692487703378287
3,3,0.1,32,1.0,0.07379999999999998,-0.8587826347099188,0.050353449418935936,4.031832826566896,26.884593413186494
3,5,0.1,32,1.0,0.06040000000000001,-0.8912101061371461,0.031912752040936465,7.6553242773955,34.3568513397263
3,3,0.01,64,1.0,0.0796,-0.8417464036577741,0.061488155083224805,4.206060700721112,23.486432951404623
3,5,0.01,64,1.0,0.0655,-0.8811385517316327,0.0366740673467979,10.633515557547215,24.44349690109017
3,3,0.1,64,1.0,0.07569999999999999,-0.8497940828830075,0.056544524907469085,4.17608859225118,26.112371114482833
3,5,0.1,64,1.0,0.05920000000000003,-0.8891510341293607,0.03273479191426032,7.038241481700812,32.033936944591524
3,3,0.01,32,2.0,0.08409999999999995,-0.8369449126959239,0.06663398880963889,5.418341418064268,25.0724822928887
3,5,0.01,32,2.0,0.06620000000000004,-0.8778035311457449,0.039550519112214855,9.244951674860557,27.735103652816285
3,3,0.1,32,2.0,0.07740000000000002,-0.8481716524341474,0.05910426569099547,11.380173148541,27.05430861352781
3,5,0.1,32,2.0,0.058599999999999985,-0.8874695723753268,0.034074930235136636,9.650869719918859,33.884490942660584
3,3,0.01,64,2.0,0.08989999999999998,-0.8020985625721107,0.09651771354937888,6.005421574301366,25.91689824940965
3,5,0.01,64,2.0,0.0695,-0.8672359310516612,0.04562129788203695,7.465715566508237,27.85098690249881
3,3,0.1,64,2.0,0.09640000000000004,-0.8243417821911725,0.0769482680989555,6.962425267690998,26.927222010891096
3,5,0.1,64,2.0,0.062000000000000055,-0.8860570297682573,0.03411522969583369,6.808313707044181,33.21676162892579
