target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.44489999999999996,-0.1354388310782027,0.9614076734391207,243.9543363133802,50.87291557536087
2,4.35483870967742,0.31589999999999996,-0.38472559660617145,0.7899994529315889,239.56238918131822,51.94433239277926
2,6.709677419354839,0.2932,-0.4328190014580557,0.6529062719940351,235.2823405859203,49.27422675779649
2,9.064516129032258,0.3419,-0.3514914788017696,0.8018459602447525,236.06664038992642,46.98091246537911
2,11.419354838709678,0.253,-0.4929979554122844,0.5979099505137481,233.831455384187,45.00449433967899
2,13.774193548387098,0.23219999999999996,-0.5544981444464431,0.5285541695308118,236.17142881774865,47.640250052172476
2,16.129032258064516,0.1976,-0.6046807102316291,0.45635572939825364,237.93251571196225,47.35415550259736
2,18.483870967741936,0.243,-0.5302022198048527,0.5762366266598327,236.53152218713635,46.61806558062954
2,20.838709677419356,0.18920000000000003,-0.6287381357493793,0.3936549773354001,234.01620299055432,48.71721578375406
2,23.193548387096776,0.1846,-0.6328069265251849,0.4158585772368384,233.58810887601655,45.169844877717466
2,25.548387096774196,0.17190000000000005,-0.6407031054515149,0.3454228633643964,234.96804000788993,45.10004357605385
2,27.903225806451616,0.18600000000000005,-0.6323587533524618,0.37738324349356345,234.42154446268333,50.70456033595972
2,30.258064516129032,0.1502,-0.6912606349954005,0.2630279019752326,234.7338889985427,47.70339881563113
2,32.61290322580645,0.1613,-0.6760901696904248,0.3104727395336141,234.4045208796783,48.31985129774549
2,34.96774193548387,0.18810000000000004,-0.6438160974556496,0.39300260291105527,232.49990754536248,45.32163488562548
2,37.322580645161295,0.14949999999999997,-0.6933480525462585,0.27183784239001363,234.57911107008013,45.5686064267903
2,39.67741935483871,0.15290000000000004,-0.6939604457118418,0.27121726853723394,232.1369879027781,44.65941807094351
2,42.03225806451613,0.15449999999999997,-0.6995352626905714,0.27648441517066347,234.647198097848,48.628869078752466
2,44.38709677419355,0.14739999999999998,-0.708993047301486,0.23746353592947167,231.74428101764906,46.352181581088075
2,46.74193548387097,0.15659999999999996,-0.6907664734828544,0.29721599476206906,232.68497614864026,50.23710016694739
2,49.09677419354839,0.14490000000000003,-0.693527298751739,0.27306729308130506,232.37641089063735,41.126222279938744
2,51.45161290322581,0.15710000000000002,-0.6837962088095574,0.29497541165174246,233.81692409758446,47.18709692849324
2,53.80645161290323,0.14339999999999997,-0.698735434331322,0.26520786460957735,232.74708795594478,45.78013299187904
2,56.16129032258065,0.1271,-0.7166293556139076,0.20702360303872824,232.10010207236414,45.41257024686733
2,58.516129032258064,0.12239999999999995,-0.712414017072623,0.2184710786413998,233.9825579611168,43.24149362214207
2,60.87096774193549,0.13790000000000002,-0.6939515196086751,0.24568318417303903,232.90189784595242,42.97253616558918
2,63.225806451612904,0.1473,-0.6965961939051514,0.26173524956372307,236.55999878269088,45.41955736402824
2,65.58064516129033,0.14900000000000002,-0.6920948124877414,0.27359791926826915,234.1610363352013,48.644800716087474
2,67.93548387096774,0.14839999999999998,-0.6729151962300718,0.2696353720411184,235.61011347510367,48.499080784049944
2,70.29032258064517,0.13580000000000003,-0.6988114798514882,0.25803362778578376,233.4300556391732,44.7690066383808
2,72.64516129032259,0.13570000000000004,-0.7066679406242115,0.22042277456647064,232.30236584818812,45.13570233516451
2,75.0,0.1412,-0.6904632421092335,0.26592716897403934,235.25906173331234,47.345813768679875
